URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/device-availability-status,5.0.0,active,"2.16.840.1.113883.4.642.4.2048",FHIRDeviceAvailabilityStatus,FHIR Device Availability Status,"The record status of the device.","ValueSet/device-availability-status"
http://hl7.org/fhir/device-category,5.0.0,active,"2.16.840.1.113883.4.642.4.2105",FHIRDeviceCategory,FHIR Device Category,"The category of the device.","ValueSet/device-category"
http://hl7.org/fhir/device-nametype,5.0.0,active,"2.16.840.1.113883.4.642.4.1084",DeviceNameType,Device Name Type,"The type of name the device is referred by.","ValueSet/device-nametype"
http://hl7.org/fhir/device-operation-mode,5.0.0,active,"2.16.840.1.113883.4.642.4.2107",FHIRDeviceOperationMode,FHIR Device Operation Mode,"The operation mode of the device.","ValueSet/device-operation-mode"
http://hl7.org/fhir/device-specification-category,5.0.0,active,"2.16.840.1.113883.4.642.4.2054",FHIRDeviceSpecializationCategory,FHIR Device Specialization Category,"The kind of standards used by the device.","ValueSet/device-specification-category"
http://hl7.org/fhir/device-status,5.0.0,active,"2.16.840.1.113883.4.642.4.210,2.16.840.1.113883.4.642.1.200",FHIRDeviceStatus,FHIR Device Status,"The status of the Device record.","ValueSet/device-status"
http://hl7.org/fhir/observation-referencerange-normalvalue,5.0.0,active,"2.16.840.1.113883.4.642.4.2099",ObservationReferenceRangeNormalValue,ObservationreferenceRangeNormalValue,"Codes that describe the normal value in the reference range.","ValueSet/observation-referencerange-normalvalue"
http://hl7.org/fhir/observation-status,5.0.0,active,"2.16.840.1.113883.4.642.4.401,2.16.840.1.113883.4.642.1.388,2.16.840.1.113883.4.642.2.219",ObservationStatus,Observation Status,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/observation-triggeredbytype,5.0.0,active,"2.16.840.1.113883.4.642.4.2098",TriggeredBytype,triggered Bytype,"Codes providing the triggeredBy type of observation.","ValueSet/observation-triggeredbytype"
http://hl7.org/fhir/quantity-comparator,5.0.0,active,"2.16.840.1.113883.4.642.4.60",QuantityComparator,QuantityComparator,"How the Quantity should be understood and represented.","ValueSet/quantity-comparator"
http://hl7.org/fhir/udi-entry-type,5.0.0,active,"2.16.840.1.113883.4.642.4.212,2.16.840.1.113883.4.642.1.202",UDIEntryType,UDI Entry Type,"Codes to identify how UDI data was entered.","ValueSet/udi-entry-type"
